Country,PCA1,PCA2,color
Norway,44810.9059551,74.9608065521,1
Australia,21359.0750893,-11.8843975722,1
Switzerland,31802.992427,28.6522469219,1
Denmark,24110.0501808,-0.472037109119,1
Netherlands,17171.087137,-21.7187859624,1
Germany,22557.0559589,-6.0028194436,1
Ireland,17775.0644636,-15.569762509,1
United States,30724.9812879,27.6824032877,1
Canada,21258.0594354,-9.21615427136,1
New Zealand,11980.1230507,-41.586494306,1
Singapore,47664.809016,106.366935147,1
Sweden,27892.9723589,27.2906970167,1
United Kingdom,14930.0887579,-29.9911004707,1
Iceland,16463.0592872,-15.2357067697,1
Korea (Republic of),9567.08171943,-36.2697741474,1
Israel,10122.0867335,-36.1245071279,1
Luxembourg,35393.915651,50.8072356641,1
Japan,12646.0623883,-27.8569086885,1
Belgium,19549.9966757,4.22740885545,1
France,18743.9970057,2.20276659621,1
Austria,17269.0402826,-14.0243479935,1
Finland,19315.0233034,-5.23845977904,1
Slovenia,9851.08273184,-38.5963195523,1
Spain,11730.0209049,-14.6454730532,1
Italy,10197.0345268,-24.1917164782,1
Czech Republic,7600.09408111,-47.1482167086,1
Greece,4959.04729808,-35.2530658283,1
Estonia,8525.08019734,-41.2192345065,1
Cyprus,10284.0203882,-19.7576544221,1
Qatar,42793.7549045,107.793454253,1
Slovakia,7574.06797267,-41.0747741267,1
Poland,6094.04523544,-35.3879362639,1
Lithuania,8626.03786989,-29.1665328661,1
Malta,4106.03812709,-37.9913697765,1
Saudi Arabia,7764.99145517,-20.904661671,1
Argentina,1873.02943412,-35.6161558819,1
United Arab Emirates,10061.9862511,-13.1801775056,1
Chile,2403.04123432,-41.0841115855,1
Portugal,8929.95020589,-0.460602053658,1
Hungary,5114.05114538,-43.4260231619,1
Bahrain,7708.96358976,-11.0110842169,1
Latvia,6108.03944431,-36.8962189406,1
Croatia,3871.03243811,-38.5720755217,1
Kuwait,29962.7785645,77.1551645782,1
Montenegro,-1222.93858849,-56.1130675953,1
Belarus,593.050731158,-48.7552982439,1
Russian Federation,4940.01876692,-32.5829337259,1
Oman,2379.96331503,-21.9498502255,1
Romania,2921.02105752,-38.0599694715,1
Uruguay,2391.97498598,-21.5022313354,1
Bahamas,5538.99927631,-25.0927216978,2
Kazakhstan,3079.02159852,-36.1147790844,2
Barbados,-2083.95175759,-51.9857785552,2
Bulgaria,119.029894212,-46.8639826139,2
Panama,1369.9550003,-19.6720903227,2
Malaysia,3305.94963575,-17.5602089601,2
Mauritius,-1788.04025659,-27.5651510444,2
Trinidad and Tobago,7339.90506727,3.78048252166,2
Serbia,-2632.02621866,-33.0645661448,2
Cuba,-7416.96539436,-59.289199009,2
Lebanon,-4995.02594268,-41.7779800505,2
Costa Rica,-2649.04908446,-26.0947266523,2
Iran (Islamic Republic of),-7500.99942271,-55.8033849595,2
Venezuela (Bolivarian Republic of),128.928875877,-16.4620017398,2
Turkey,-2305.08438831,-18.7563863064,2
Sri Lanka,-6877.00138029,-52.8990144441,2
Mexico,-2096.06259007,-22.8901292278,2
Brazil,-936.081767797,-14.7819130275,2
Georgia,-7441.97989908,-58.4174959313,2
Azerbaijan,-2209.0199333,-38.0724593115,2
Jordan,-8742.01615931,-55.6631621459,2
The former Yugoslav Republic of Macedonia,-3533.10177807,-14.4191822038,2
Ukraine,-5811.00698721,-49.775846966,2
Algeria,-8431.09423428,-28.5223384401,2
Peru,-4289.08326776,-19.5961176445,2
Albania,-5112.04063548,-39.7446421505,2
Armenia,-6287.01420766,-49.4091686014,2
Bosnia and Herzegovina,-5815.093783,-23.888735288,2
Ecuador,-3842.12304198,-7.88558866668,2
China,-2201.116646,-8.78420996209,2
Fiji,-8055.06502171,-38.3599049941,2
Mongolia,-3300.06786316,-28.7973183194,2
Thailand,-509.179801189,12.7687299085,2
Libya,-4902.11679463,-19.5639837311,2
Tunisia,-7581.13650353,-16.3731946501,2
Colombia,-2544.14238223,-4.69558943026,2
Jamaica,-6509.0929946,-27.462247937,2
Tonga,-8533.06284529,-42.2071325722,2
Belize,-7295.090978,-31.2634980925,2
Dominican Republic,-3469.15199135,-4.95462633471,2
Suriname,-2088.18841124,6.18653046763,2
Maldives,-3798.20726882,12.5938005761,2
Samoa,-8913.11336469,-31.6960317229,2
Botswana,2849.80853867,16.5634286885,2
Moldova (Republic of),-7730.08058925,-39.3444080942,2
Egypt,-7401.16855336,-12.2596382911,2
Gabon,1197.77697646,21.8498787295,2
Indonesia,-5844.19113687,2.05410766631,2
Paraguay,-6753.19627343,2.65285098733,2
Philippines,-6947.1577004,-12.3628444624,2
El Salvador,-6832.20803632,4.35718576111,3
South Africa,-3616.17352736,-3.7013136025,3
Viet Nam,-7705.16620923,-7.26209330998,3
Bolivia (Plurinational State of),-7946.18869819,-0.612653933759,3
Kyrgyzstan,-10207.1061854,-35.5690307309,3
Iraq,-8050.23102156,3.38964729846,3
Guyana,-8165.18863027,-7.91620381403,3
Nicaragua,-9362.21460703,0.660311771924,3
Morocco,-9107.25482401,9.24739297055,3
Namibia,-4657.26401563,23.8739241245,3
Guatemala,-7308.27336286,20.7894515529,3
Tajikistan,-10315.1380415,-28.4804739248,3
India,-10213.2504953,4.94739302739,3
Honduras,-9964.2518758,8.7783949238,3
Bhutan,-6596.27487776,22.9509973818,3
Syrian Arab Republic,-11465.251258,-0.112246988734,3
Congo,-7164.27524038,21.2389482756,3
Zambia,-9310.29126618,23.9568288076,3
Ghana,-9129.26594051,13.8382897359,3
Lao People's Democratic Republic,-8243.30888967,31.7874277949,3
Bangladesh,-10051.2819132,16.4812580914,3
Cambodia,-9803.32572236,35.0547632038,3
Kenya,-10074.3061901,24.4788879319,3
Nepal,-10373.3142762,30.4431477534,3
Pakistan,-10879.3169248,20.2006853291,3
Myanmar,-8456.33598363,36.4885122292,3
Swaziland,-8435.34309832,33.6492669843,3
Tanzania (United Republic of),-10009.3563891,44.7496782444,3
Cameroon,-10063.3400133,33.5475804434,3
Zimbabwe,-10942.29569,19.9768147759,3
Mauritania,-10704.3673135,34.9618506666,3
Papua New Guinea,-10184.3830251,45.7639196095,3
Yemen,-10734.3848387,37.3723011871,3
Lesotho,-9716.37036303,40.2981682663,3
Togo,-11245.3730443,42.0266301714,3
Haiti,-10950.3715433,37.2419444711,3
Rwanda,-11017.3838377,49.2006264766,3
Uganda,-11103.363796,38.8948643743,3
Benin,-10836.3997445,47.3442498787,3
Sudan,-10447.4022804,43.2842817087,3
Senegal,-10672.4154906,53.3079643344,3
Afghanistan,-11823.4151732,42.2192655862,3
C̫te d'Ivoire,-10183.421792,50.7611392134,3
Malawi,-11650.4172958,52.9020246357,3
Ethiopia,-11239.4276218,56.0651199348,3
Gambia,-11062.4203497,51.2581433738,3
Congo (Democratic Republic of the),-11732.4262839,51.8173481573,3
Liberia,-11651.4259382,49.4709068445,3
Mali,-11289.448238,55.5019107668,3
Mozambique,-10747.4603278,67.5909292407,3
Sierra Leone,-11452.4499481,57.7038239301,3
Burkina Faso,-11636.4698644,65.5183601938,3
Burundi,-10672.469899,68.6356834317,3
Chad,-11853.4738202,63.7502686042,3
Central African Republic,-6643.50795451,81.9342400639,3
Niger,-3312.54905895,94.2837250059,3
